signature,job_id,query,pert_id,pert_iname,pert_type,tau
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K35133769,BRD-K35133769,trt_cp,12.472073
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K68756823,FR-180204,trt_cp,-4.792107
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K30649484,mafenide,trt_cp,54.51062
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K39823328,VU-0366037-2,trt_cp,-14.964619
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-A34208323,VU-0404997-2,trt_cp,8.527132
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K83010055,VU-0415374-1,trt_cp,-12.876731
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K74501079,azithromycin,trt_cp,16.902063
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-A35108200,dexamethasone,trt_cp,-32.249184
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-A69512159,carbidopa,trt_cp,10.150555
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-K02637541,celecoxib,trt_cp,0.5285412
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-A42571354,cetirizine,trt_cp,-22.151243
ATLAS_SIG_B_TOP100,6a92e7670262700013c4e5e9,ATLAS_SIG_B_TOP100,BRD-A47598013,citalopram,trt_cp,21.70086
